Designation,Semi-major axis (AU),Eccentricity,Inclination (deg),Mean Longitude (deg),Longitude of Perihelion (deg),Longitude of Ascending Node (deg),Radius (km),H (mag),PHA
2010 NG3,2.603567581147989,.5675475573835536,26.97234044096834,256.9644575,194.352799517094,64.11810165567225,.7255,17.2,N
2010 NB2,2.084744788039033,.7613928262791652,28.67297143212319,175.9435768,292.3087575158611,240.8801590484973,.105,20.3,N
2010 NU1,2.42761945106413,.8007335661055098,34.63257852940151,142.0197761,42.4107337710011,105.090719440147,.143,21.2,N
2010 NT1,1.458248932404796,.2181701893086165,39.52029919105411,236.8850699,306.3036967673335,283.2819983915961,.1915,19.4,N
2010 NG1,.8491270355395796,.3325961561845215,24.74190823011334,109.5669137,299.9718552926118,167.1519489139535,.1145,20.4,N
P/2010 N1,3.287990444569411,.4968890348937075,15.36910806801979,267.6334398,160.9175410598807,106.0804336606231,N/A,N/A,n/a
2010 MA113,2.690189994436359,.6690505539202022,41.14848354540194,329.9058055,25.85918903962469,309.854841119884,.4515,19.2,N
2010 MZ112,1.226974354307862,.5209013532304808,23.58625802216596,9.005287600000001,50.88304122797949,320.5877820308584,.404,19.8,N
2010 MY112,1.071654485297153,.2446522900266755,38.58156304124343,56.7355068,327.6666670413842,83.062650520315,.186,21,N
2010 MU112,1.755995655793771,.5404878303505698,48.02556970844556,31.0611355,119.2085610115479,261.1674617211868,.2995,20.7,Y
2010 MU111,2.390073248148865,.6137865438347002,41.55324747089583,242.4419672,157.0379725518904,80.03402656408556,.9735,18.7,N
2010 MR87,1.733871823380377,.3906350582541586,34.9912469308075,333.4789376,132.4778797496081,195.2990953799502,.1785,19.5,N
2010 LU134,1.897140205521023,.5457464784671064,27.37475466057167,345.1980968,359.322782816054,345.7994838311371,.1585,19.5,N
2010 LV108,2.737032464546513,.6508096156649672,4.401306083358172,238.0825932,344.1805457191265,253.8577212156094,.117,22.6,N
2010 LU108,2.239766214689021,.8187254333365402,9.508609498968344,176.2387984,22.14316604184414,154.3709963807087,.4125,20,N
2010 LT108,1.349227352164354,.3706523800710496,31.87024304260362,169.1891101,9.446376618715929,161.146566748384,.301,19.7,N
2010 LO97,2.580569670638999,.5260023743417669,21.65920761494871,46.8893724,3.577149788411178,43.5641970093079,.8145,18.7,N
2010 LF86,2.405902884709697,.4603093368403787,13.54942946607512,62.6683413,165.3062141451614,256.9701730023015,1.255,17.2,N
2010 LR68,3.036204892970601,.607991543436727,4.583742936850076,48.1364883,293.8538340204057,114.2146936149415,1.123,18.3,N
2010 LL68,2.072621460643546,.5260110137055505,10.48362857357351,291.2822866,98.51823122851458,192.621620823441,.0765,22.9,N
2010 LK68,1.169081164889127,.4736240107208793,21.91835053903914,169.6354746,261.6524132579848,268.623222589682,.118,22.5,N
2010 LJ68,1.768760818300376,.4530383725888308,17.11271553028415,199.9181899,36.96503084427995,164.1915412616639,.0965,22.7,N
2010 LG64,2.669139475890488,.6097403798269352,42.2883801264668,5.5819652,355.5871249614293,8.849390688139405,.470,20.2,Y
2010 LF64,3.759262896255454,.6411379897545521,29.14385554453102,220.1909854,214.4208679539102,9.290606931289457,.1735,21.6,N
2010 LJ61,1.046060284312504,.4596957904590961,9.797909623654501,118.7449339,48.24483924168182,70.91866239914799,.096,20.9,N
2010 LQ33,2.269544687886844,.4597588231801018,24.63609215528152,230.6154375,342.8690326951717,246.2669649948292,.436,19.3,N
2010 LM14,1.110318210326937,.3793655086049012,25.92601413301998,3.7987906,187.9136174811126,176.6729676565439,.1805,21.5,N
2010 LH14,2.199017256815567,.5739451188613208,4.664568954711428,287.7003202,80.4412318672854,207.2902644992737,.0505,22,N
C/2010 L5,8.259755246183724,.904213935128771,147.0489422836135,356.2547309,214.7635879881051,206.4722722735252,N/A,N/A,n/a
C/2010 L4,80.0707523283901,.9647120093628968,102.8180833518523,11.0578708,95.76861780668467,125.5401686772342,N/A,N/A,n/a
245P/WISE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,n/a
2010 KY127,2.497543626645208,.8811551451611157,60.29135944192353,5.4463853,356.7525500811202,7.057089107084201,.885,17,N
2010 KK127,2.230744781788974,.425066732157042,6.966751763264983,340.5625275,158.0032923387086,182.4121694039994,.2505,20.7,N
2010 KZ117,2.269189929883659,.5126142554719393,33.15773331828807,280.4264814,321.3591840871213,314.2200626741994,.3075,19.2,N
2010 KB61,1.274886324789635,.2337198203147588,44.59733286597592,281.3948361,234.9695786284925,55.94640659413589,.2085,20.5,N
2010 KY39,1.740260965128599,.3985825838063901,25.50808324350187,281.1933247,93.13043995076472,187.7255725041669,.3425,20.1,N
C/2010 KW7,99.8450257870963,.9742556867305436,147.0608373144838,128.5353635,332.3057549138623,104.7615010241332,2.435,N/A,n/a
317P/WISE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,n/a
2010 KH,2.75877760394979,.5524530916048297,14.56969386257432,358.9014732,273.0818864558909,85.71739501165709,.3225,19.4,N
2010 JM151,1.698414573004405,.4809764166441269,16.64652960607429,290.2210359,343.5055726406868,306.0595640767499,.2715,19.6,N
2010 JH87,1.537075560054911,.5397943122566748,43.78080692793969,326.8331566,222.7357766331144,113.1270824198854,.214,19.6,N
2010 JG87,2.762741254933106,.9473396267546846,16.90894785122991,113.8536161,266.2310593610621,207.7923328907391,.204,19.1,N
2010 JF87,2.436572105860585,.6206823109008894,24.92821478786688,149.9748209,12.09725264313693,138.9757525742988,.4725,19.2,N
2010 JE87,.904412385086258,.4368755214621951,16.9208402810353,1.7850534,242.3304001945863,120.510522518139,.154,20.8,Y
2010 JD87,1.427673818538025,.6395141942141433,24.59890077907046,129.2934554,148.5236329001099,338.3968189954963,.346,19.2,N
P/2010 JC81,8.133096409161784,.7773506455785488,38.69026902738793,40.643636,12.57330798719058,30.76805234895705,N/A,N/A,n/a
2010 JA43,2.243972718518957,.502403793039961,42.76329358014094,172.8101305,247.0851112968625,292.742916406689,N/A,20.9,N
2010 JN33,1.554535105045787,.2874138572152006,53.14940732549196,251.9074817,64.86378127721584,199.9456990324702,.143,20.4,N
C/2010 J4,169416.2960606054,.9999935925132188,162.2965271698157,232.9599344,83.75334172763874,316.4053868551018,N/A,N/A,n/a
2010 HZ108,1.248337951257056,.2083524149419687,22.88249567544926,281.9787794,106.6418022539404,174.0036654998051,.178,20.9,N
2010 HX107,.8004769614587919,.3006524295306665,3.364636905136955,44.652668,353.0006738834534,51.64004833597076,.032,23.6,N
2010 HZ104,2.255403357351212,.5643456046851801,20.12601926411953,243.7039576,165.1978428345191,77.63855866955787,.070,22.5,N
2010 HW81,1.261308250316934,.7544321202446996,13.474988611789,324.1260404,95.29283615960244,228.6842643204683,.176,21.4,N
2010 HD33,2.618159101306935,.5160994828045818,24.43279357703892,212.876457,50.46300913585493,165.072253587481,.2815,18.3,N
2010 GV147,.9588189166922413,.6602636499621378,44.04719912061882,36.056991,97.89131228806022,295.1420683709277,1.0275,18.5,N
2010 GR75,1.726368135371339,.635853543403438,17.78385619889085,118.4924624,359.920969609799,118.5677163594008,.1385,19.6,N
2010 GQ75,2.433774895407971,.86551683724614,43.19225830585074,77.51953469999999,352.9500737511019,82.67152822549212,.186,20.2,N
2010 GP67,1.113542535240634,.1070626833584718,13.27172051595456,255.4366012,44.70329170321186,211.5085867022344,.1255,22.3,N
2010 GH65,2.70589494969625,.6105852881707859,21.04618673558564,268.8237259,228.0261404260452,42.76997197418257,.2465,18.8,N
2010 GX62,2.951788534933371,.7040591697568807,21.64628011857298,166.0845653,316.0540564571706,207.9415394759876,.311,20,Y
2010 GW62,1.269804309005963,.5756579317885848,32.4365865207166,92.921335,352.4939567767677,99.26674858513441,.1425,19.4,N
2010 GF25,1.421591299727948,.7367517374801882,38.48935189169898,306.8216657,339.2390899652721,323.3482354055511,.5635,19.1,N
2010 GE25,2.065895242137889,.4690974902713545,21.65427564802988,197.7871559,235.2142272371404,324.561432507812,.152,20,N
2010 GK23,2.748528646373521,.6828014193135649,35.00071861517484,127.3063124,342.8001299581398,141.5346733451846,.1385,19.7,N
C/2010 G3,2571.923503053729,.9980918346266344,108.2676087683437,263.8459325,75.19995309806485,313.7183405513308,N/A,N/A,n/a
C/2010 FB87,299.2649391745226,.9905008479762432,107.6253577857665,195.9389215,265.0258401521044,89.90219171992796,N/A,N/A,n/a
2010 FJ81,3.591447665440531,.690265765042149,42.20535856803768,271.8624261,172.0340185255909,97.78034334754244,.208,20.8,N
2010 FH81,1.225524491796957,.2104726346423321,16.79346474439093,243.7412915,158.2626276837435,84.63316422507546,.100,21.6,Y
2010 FG81,1.65919019003796,.3938900612812331,7.982034501868911,175.2139583,191.0799406730816,344.2387449219061,.0525,23.3,N
2010 FC81,2.677915296764851,.6234413673779416,1.682459382427593,207.9923129,63.67806504012724,144.3240682132839,.201,21.8,Y
2010 FB81,2.579995049432865,.6030361203557909,9.479324134094732,136.7840526,46.16513683141968,91.01256722472868,.1595,21.4,N
2010 FA81,1.195201025684098,.1519683465237322,15.4780289990118,189.6572013,140.7945753501178,47.82997663722011,.0485,22.3,N
2010 FZ80,2.782410336907476,.7419531311259473,25.57715162195393,255.7924727,345.6789741417316,268.7599659424308,.4335,20.3,N
2010 FY80,2.695778682678602,.6125525834711756,18.81223741743596,208.6871279,45.80521658810292,164.4544643079761,.2255,19.7,N
2010 FX80,2.168440668678014,.4549095702840365,36.95804775032312,217.9937658,88.9777129781059,129.273025486253,.338,20.6,N
2010 EX119,1.903319454948861,.5951803836203825,15.56896248913005,233.3808784,22.24022501011343,211.8810056116143,.275,19.4,N
2010 EN44,1.178762334261721,.1900062249567102,10.89070799216041,222.4118192,208.2524995662778,14.59133705729039,N/A,24.3,N
2010 EX11,.9559901796261021,.1095673475888268,9.74706704350389,46.3139294,42.70755174394621,4.021342884429397,.020,24.1,N
C/2010 E3,291.5364583104838,.9922169094622412,96.35781398033313,109.6394956,50.43275312668848,117.2724645991792,N/A,N/A,n/a
2010 DJ77,.9546322531656669,.2106898231794942,24.74287056599963,31.8064491,103.7609008007204,286.7152579470105,.1385,21.6,Y
2010 DH77,3.2660279165028,.7087262461649383,34.37749022694456,176.6229162,236.5487991107208,305.2993607364498,.260,21.8,N
2010 DG77,2.741696122309503,.6500705424775732,16.73438395001119,125.4820059,196.1148987588048,290.0162389417768,N/A,21.4,Y
2010 DM56,1.305734643757161,.2924746956961375,25.60244884839238,34.8638368,48.17254377820836,349.6454618559656,.381,19.9,Y
2010 DJ56,1.249889521749929,.2453424021010193,34.84014212014832,104.8190599,309.2587476928439,149.9400938375234,.1605,19.3,Y
2010 DH56,2.236068296824549,.5673906278867562,33.661732792224,192.2459082,266.8789391709695,285.9940780849344,.387,20.3,N
C/2010 DG56,67.53848849296156,.9764363776999954,160.4173466758458,43.8911617,318.2894118826337,3.869456404747797,N/A,N/A,n/a
2010 DK34,2.779028173641249,.7652999789108793,27.4140303044518,256.9067596,164.0808343453052,91.11488610957566,.1415,20.4,N
2010 DM21,2.864846151707625,.6566788587840141,21.1437473446464,80.7670782,263.1711730304718,178.0836521160552,.1515,20.2,N
C/2010 D4,64.66610359326755,.8894597296651968,105.6596518671232,251.9330884,44.48931867036035,266.7835142639501,N/A,N/A,n/a
C/2010 D3,11440.3287999894,.9996287220477996,76.39482006562122,236.4338173,304.6426210513251,255.2346089610491,N/A,N/A,n/a
P/2010 D2,6.689610144014443,.4530244026325743,57.1769742299665,96.7208057,120.068180014667,319.8358599165465,N/A,N/A,n/a
P/2010 D1,4.162986281994769,.3539801855983308,9.630264091604381,26.6127384,226.2092777023988,160.8097896906653,N/A,N/A,n/a
2010 CN141,1.516275118697594,.3989083861857172,23.80355976430217,58.1845067,21.96363665363469,37.9313393239764,.127,22.4,N
2010 CP140,1.900256726342145,.5378832109735319,14.46997916737981,101.4209528,189.8804226518251,271.8480576268552,.278,19.5,N
2010 CC55,1.546449289257921,.4689367821749894,6.783816267334982,88.6195654,18.11255758692039,70.62561444936493,.121,22.5,N
2010 CA55,2.337383860560226,.7131045829234475,55.03331698783781,64.9779826,302.792069530322,106.6325954873723,.176,21.3,N
2010 CH18,2.607428416109157,.57033622355525,27.14894984571975,161.4715846,109.8711088020324,49.36578321343794,.197,19,N
2010 CG18,1.438613630851493,.2261652011518165,10.15580491858372,70.49675619999999,351.5589453939231,78.8074171491084,.326,20.8,N
2010 CO1,1.012170086272939,.2179659202317156,24.01737171840417,242.7058657,252.627849825546,351.6122095765651,.190,21.5,Y
P/2010 B2,3.106572457247497,.4809020234534285,8.937369174251629,157.0787941,155.9628736319457,.8566169438432921,N/A,N/A,n/a
2010 AU118,2.346384297259612,.4290612403678353,42.7258726536365,54.4477652,11.38745611300521,46.03158875781157,.9735,17.7,N
2010 AG79,2.902810023856691,.5794186360294106,32.99206984148194,61.8122544,13.80116260364257,50.17029571733906,.446,19.9,N
2010 AB78,2.254484910624896,.5469145572007117,33.25320985180646,257.7126407,296.4958461154716,316.9135102100736,.8355,18.3,N
