full_name,a,e,I,longNode,longPeri,q,ad,per_y,data_arc,condition_code,n_obs_used,H,pha
73P/Schwassmann-Wachmann 3-Z,3.073,0.6934,11.34,70.58,197.91,0.942,5.2,5.39,6.0,9.0,16,-1.0,0
73P/Schwassmann-Wachmann 3-AA,2.941,0.6806,11.3,69.57,199.11,0.939,4.94,5.04,19.0,8.0,36,-1.0,0
73P/Schwassmann-Wachmann 3-AB,3.042,0.6912,11.37,69.86,198.82,0.939,5.14,5.31,31.0,7.0,35,-1.0,0
73P/Schwassmann-Wachmann 3-AC,3.083,0.6954,11.41,69.93,198.75,0.939,5.23,5.41,30.0,7.0,45,-1.0,0
73P/Schwassmann-Wachmann 3-AD,3.068,0.6934,11.37,70.22,198.37,0.941,5.19,5.37,6.0,9.0,11,-1.0,0
73P/Schwassmann-Wachmann 3-AE,3.096,0.6967,11.41,69.97,198.71,0.939,5.25,5.45,20.0,8.0,43,-1.0,0
73P/Schwassmann-Wachmann 3-AF,2.908,0.6763,11.24,69.85,198.72,0.941,4.87,4.96,7.0,9.0,25,-1.0,0
73P/Schwassmann-Wachmann 3-AG,3.087,0.6958,11.41,69.96,198.71,0.939,5.23,5.42,24.0,7.0,79,-1.0,0
73P/Schwassmann-Wachmann 3-AH,3.075,0.6934,11.33,70.71,197.74,0.943,5.21,5.39,3.0,9.0,19,-1.0,0
73P/Schwassmann-Wachmann 3-AI,3.111,0.6982,11.43,69.97,198.73,0.939,5.28,5.49,31.0,8.0,17,-1.0,0
73P/Schwassmann-Wachmann 3-AJ,2.786,0.6624,11.14,69.39,199.21,0.941,4.63,4.65,19.0,9.0,19,-1.0,0
73P/Schwassmann-Wachmann 3-AK,3.058,0.6934,11.43,69.38,199.33,0.938,5.18,5.35,11.0,9.0,12,-1.0,0
73P/Schwassmann-Wachmann 3-AL,3.128,0.6998,11.44,69.98,198.72,0.939,5.32,5.53,14.0,9.0,15,-1.0,0
73P/Schwassmann-Wachmann 3-AM,3.036,0.6934,11.54,68.12,201.09,0.931,5.14,5.29,2.0,9.0,12,-1.0,0
73P/Schwassmann-Wachmann 3-AN,3.076,0.6948,11.41,69.89,198.8,0.939,5.21,5.4,18.0,8.0,43,-1.0,0
73P/Schwassmann-Wachmann 3-AO,3.072,0.6938,11.33,70.39,198.17,0.941,5.2,5.38,2.0,9.0,19,-1.0,0
73P/Schwassmann-Wachmann 3-AP,3.144,0.7014,11.47,69.97,198.74,0.939,5.35,5.58,15.0,8.0,95,-1.0,0
73P/Schwassmann-Wachmann 3-AQ,3.088,0.6959,11.41,69.92,198.77,0.939,5.24,5.43,27.0,7.0,185,-1.0,0
73P/Schwassmann-Wachmann 3-AR,3.087,0.6958,11.41,69.97,198.71,0.939,5.24,5.43,14.0,9.0,15,-1.0,0
73P/Schwassmann-Wachmann 3-AS,3.141,0.7011,11.46,69.98,198.72,0.939,5.34,5.57,12.0,8.0,36,-1.0,0
