full_name,a,e,I,longNode,longPeri,q,ad,per_y,data_arc,condition_code,n_obs_used,H,pha
434326 (2004 JG6),0.6352,0.5311,18.94,37.01,353.01,0.298,0.97,0.506,6227.0,1.0,142,18.48,1
434344 (2004 RV10),1.377,0.2856,36.87,161.52,272.43,0.984,1.77,1.62,5827.0,0.0,164,19.87,0
434500 (2005 SB71),1.264,0.2573,13.21,200.58,100.46,0.938,1.59,1.42,6259.0,0.0,172,21.2,0
434632 (2005 WE),1.151,0.2513,12.37,289.92,22.65,0.862,1.44,1.24,5891.0,0.0,234,19.88,0
434633 (2005 WB1),1.264,0.3554,22.88,61.41,265.73,0.815,1.71,1.42,6242.0,0.0,224,20.67,1
434677 (2006 BZ7),1.49,0.3665,68.42,262.95,188.79,0.944,2.04,1.82,6396.0,0.0,201,17.46,1
434734 (2006 FX),1.495,0.438,24.64,181.15,299.49,0.84,2.15,1.83,4262.0,0.0,195,20.02,1
434740 (2006 GZ),1.528,0.3799,12.49,25.58,292.49,0.947,2.11,1.89,6468.0,0.0,190,19.59,0
434751 (2006 HV57),2.721,0.5855,6.01,264.54,18.08,1.128,4.31,4.49,6614.0,0.0,172,18.54,0
434786 (2006 PW),1.381,0.6514,35.91,132.92,325.15,0.481,2.28,1.62,8101.0,0.0,192,18.16,0
435058 (2006 XG2),1.341,0.1403,20.12,81.32,189.89,1.153,1.53,1.55,6210.0,0.0,116,20.21,0
435138 (2007 GD49),2.541,0.4965,30.86,44.9,296.46,1.279,3.8,4.05,7827.0,0.0,190,16.84,0
435159 (2007 LQ19),2.605,0.6299,17.06,110.83,207.69,0.964,4.25,4.21,5758.0,0.0,192,17.14,1
435302 (2007 US6),2.22,0.4484,12.39,225.44,225.44,1.225,3.22,3.31,8439.0,0.0,446,18.32,0
435404 (2008 AT28),2.209,0.4427,8.87,130.27,263.92,1.231,3.19,3.28,4756.0,0.0,372,18.63,0
435441 (2008 DJ5),1.254,0.4179,8.07,358.87,326.77,0.73,1.78,1.4,6540.0,0.0,173,19.98,0
435548 (2008 QT3),2.012,0.5285,7.25,271.9,160.98,0.949,3.08,2.85,2451.0,0.0,594,18.87,1
435730 (2008 UK90),2.004,0.3707,34.67,48.74,91.45,1.261,2.75,2.84,5579.0,0.0,71,18.82,0
436030 (2009 JO2),0.8883,0.4783,19.63,203.42,239.71,0.463,1.31,0.837,4056.0,0.0,353,19.44,0
436035 (2009 KJ22),2.102,0.4354,5.73,243.62,51.36,1.187,3.02,3.05,4331.0,0.0,289,20.09,0
436037 (2009 NJ),1.869,0.6581,8.24,254.38,132.84,0.639,3.1,2.55,5409.0,0.0,327,18.69,0
436094 (2009 SC229),2.145,0.4732,6.93,295.23,22.81,1.13,3.16,3.14,2029.0,1.0,116,19.13,0
436116 (2009 TB3),1.319,0.2196,12.22,22.09,249.7,1.029,1.61,1.51,5318.0,0.0,265,21.21,0
436324 (2010 GZ6),1.401,0.1441,44.84,199.43,73.94,1.199,1.6,1.66,7357.0,0.0,331,19.44,0
436325 (2010 GR7),1.831,0.8456,24.13,157.56,192.01,0.283,3.38,2.48,6512.0,0.0,221,18.35,0
436329 (2010 GX62),2.971,0.699,21.83,206.93,317.0,0.894,5.05,5.12,1983.0,0.0,182,20.09,1
436568 (2011 HB53),2.364,0.7028,30.0,83.72,351.09,0.703,4.03,3.64,6642.0,0.0,333,17.21,0
436654 (2011 RR12),1.738,0.3267,7.08,195.0,182.55,1.17,2.31,2.29,5865.0,0.0,318,19.29,0
436671 (2011 SV71),2.628,0.6102,13.42,80.59,190.53,1.025,4.23,4.26,6195.0,0.0,205,18.0,1
436724 (2011 UW158),1.621,0.3765,4.57,285.95,8.82,1.01,2.23,2.06,3403.0,0.0,958,19.98,1
